#,Full Name,FullTeamName,Team,Pos.,Ht.,Year,Hometown,Previous School,ImageURL,clean_name,ADP
11,Quinn VanSickle,Pepperdine Waves,pepperdine,G,5-8,Fr.,"Castle Rock, CO",,https://daitadul56i2n.cloudfront.net/images/2025/9/26/11_quinn.jpg?width=80&quality=90,quinn vansickle,94
12,Shorna Preston,Pepperdine Waves,pepperdine,F,6-1,Jr.,"Christchurch, New Zealand",Dodge City Community College,https://daitadul56i2n.cloudfront.net/images/2025/9/26/12_Shorna.jpg?width=80&quality=90,shorna preston,88
13,Meghan Fiso,Pepperdine Waves,pepperdine,G,5-10,Gr.,"Seattle, WA",San Diego State,https://daitadul56i2n.cloudfront.net/images/2025/9/26/13_meghan.jpg?width=80&quality=90,meghan fiso,36
22,Lina Falk,Pepperdine Waves,pepperdine,G,6-2,Jr.,"Wolfenbüttel, Germany",Sacramento State,https://daitadul56i2n.cloudfront.net/images/2025/9/26/22_lina.jpg?width=80&quality=90,lina falk,153
30,Seleh Harmon,Pepperdine Waves,pepperdine,G,5-10,Fr.,"Norman, OK",,https://daitadul56i2n.cloudfront.net/images/2025/9/26/30_seleh.jpg?width=80&quality=90,seleh harmon,125
31,Irune Orio,Pepperdine Waves,pepperdine,F,6-2,Sr.,"Balmaseda, Spain",Sacramento State / Xavier,https://daitadul56i2n.cloudfront.net/images/2025/9/26/31_irune.jpg?width=80&quality=90,irune orio,37
44,Zoe Shanahan,Pepperdine Waves,pepperdine,F,6-2,Fr.,"Melbourne, Australia",,https://daitadul56i2n.cloudfront.net/images/2025/9/26/44_Zoe.jpg?width=80&quality=90,zoe shanahan,128
1,Paige Lofing,Gonzaga Bulldogs,gonzaga,G,5-9,Fr.,"Billings, MT",,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/paige_lofing-2059.JPG?width=80&quality=90,paige lofing,43
2,Vera Gunaydin,Gonzaga Bulldogs,gonzaga,G,5-9,Sr.,"Ankara, Turkey",South Georgia Tech,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/vera_gunaydin-7778.JPG?width=80&quality=90,vera gunaydin,128
3,Julia Wilson,Gonzaga Bulldogs,gonzaga,G,5-10,Fr.,"Temecula, CA",Rancho Christian HS,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/julia_wilson-7070.JPG?width=80&quality=90,julia wilson,17
4,Sierra Lichtie,Gonzaga Bulldogs,gonzaga,F,6-0,Gr.,"Riverton, UT",Cal Poly,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/sierra_lichtie-8103.JPG?width=80&quality=90,sierra lichtie,3
8,Ines Bettencourt,Gonzaga Bulldogs,gonzaga,G,5-9,Sr.,"Sao Miguel, Portugal",UConn,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/ines_bettencourt-6446.JPG?width=80&quality=90,ines bettencourt,79
11,Allie Turner,Gonzaga Bulldogs,gonzaga,G,5-8,So.,"St. Louis, MO",John Burroughs HS,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/new_allie_pic.JPG?width=80&quality=90,allie turner,41
12,Christabel Osarobo,Gonzaga Bulldogs,gonzaga,G,5-11,So.,"Tudela, Spain",Ipswich Basketball Academy,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/christabel_osarobo-7880-3.JPG?width=80&quality=90,christabel osarobo,161
20,Taylor Smith,Gonzaga Bulldogs,gonzaga,F,6-2,Jr.,"Pocatello, ID",Weber State,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/taylor_smith-1502.JPG?width=80&quality=90,taylor smith,19
