fullName,jerseyNum,height,position,classYr,teamMarketTo,conferenceShortNameTo,teamMarketFrom,conferenceShortNameFrom,mins,ptsScored,ast,reb,stl,blk,ptsScoredPg,astPg,rebPg,stlPg,blkPg
Faith Lee,,,,,Missouri St.,MVC,Little Rock,OVC,,,,,,,,,,,
Brooke Moore,,,,,St. John's (NY),Big East,Liberty,CUSA,,,,,,,,,,,
Skylah Travis,25.0,73.0,F,Senior,Richmond,A10,Louisiana,Sun Belt,265.97,100.0,2.0,118.0,13.0,14.0,5.55556,0.11111,6.55556,0.72222,0.77778
Jada Crawshaw,12.0,72.0,F,Sophomore,Georgia Tech,ACC,Long Beach St.,Big West,602.43,292.0,46.0,134.0,26.0,22.0,10.42857,1.64286,4.78571,0.92857,0.78571
Jasmine Matthews,23.0,71.0,G,Sophomore,Nicholls,Southland,Louisiana,Sun Belt,121.78,36.0,2.0,24.0,2.0,0.0,2.57143,0.14286,1.71429,0.14286,0.0
Uniyah Franklin,15.0,74.0,F,Sophomore,Winthrop,Big South,Louisiana,Sun Belt,248.31,42.0,9.0,41.0,8.0,2.0,2.625,0.5625,2.5625,0.5,0.125
Tamiah Robinson,,,,,Tulane,American,Louisiana,Sun Belt,,,,,,,,,,,
Melissa Mwanza,10.0,74.0,F,Sophomore,Stony Brook,CAA,Louisiana Tech,CUSA,250.23,55.0,2.0,60.0,13.0,3.0,1.77419,0.06452,1.93548,0.41935,0.09677
Adna Halilbasic,0.0,74.0,F,Freshman,UMass Lowell,AmEast,Louisiana Tech,CUSA,7.55,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0
Mykayla Cunningham,24.0,70.0,G,Sophomore,Southern U.,SWAC,Lindenwood,OVC,961.87,251.0,103.0,124.0,50.0,4.0,7.60606,3.12121,3.75758,1.51515,0.12121
Mia Yanogacio,3.0,67.0,G,Senior,Central Conn. St.,NEC,Le Moyne,NEC,669.23,108.0,26.0,37.0,11.0,1.0,3.48387,0.83871,1.19355,0.35484,0.03226
Eseosa Imafidon,10.0,77.0,F,Freshman,Providence,Big East,Louisville,ACC,21.9,5.0,1.0,11.0,0.0,5.0,0.625,0.125,1.375,0.0,0.625
Kelly Ratigan,1.0,68.0,G,Junior,Notre Dame,ACC,Loyola Maryland,Patriot,44.42,18.0,1.0,2.0,0.0,0.0,6.0,0.33333,0.66667,0.0,0.0
Caroline Dotsey,,,,,Butler,Big East,Maine,AmEast,,,,,,,,,,,
Tegan Young,4.0,73.0,F,Sophomore,UC Davis,Big West,Manhattan,MAAC,718.56,257.0,30.0,106.0,24.0,4.0,8.29032,0.96774,3.41935,0.77419,0.12903
Holly Dolny,,,,,Chadron St.,RMAC,Loyola Chicago,A10,,,,,,,,,,,
Alexis Rosenfeld,14.0,75.0,F,Freshman,Siena,MAAC,Manhattan,MAAC,12.9,2.0,0.0,3.0,0.0,1.0,0.25,0.0,0.375,0.0,0.125
Morgan Lee,,,,,Clemson,ACC,Marist,MAAC,,,,,,,,,,,
CC Mays,3.0,68.0,G,Junior,Tulane,American,Marshall,Sun Belt,896.27,390.0,58.0,163.0,60.0,3.0,11.81818,1.75758,4.93939,1.81818,0.09091
Nyla Harris,2.0,74.0,F,Junior,North Carolina,ACC,Louisville,ACC,790.16,284.0,24.0,176.0,29.0,12.0,8.60606,0.72727,5.33333,0.87879,0.36364
Allie Kubek,,,,,Florida St.,ACC,Maryland,Big Ten,,,,,,,,,,,
Emily Fisher,3.0,72.0,G,Sophomore,Nebraska,Big Ten,Maryland,Big Ten,211.81,32.0,11.0,26.0,7.0,1.0,1.68421,0.57895,1.36842,0.36842,0.05263
Aleah Sorrentino,5.0,75.0,F,Senior,Stetson,ASUN,Massachusetts,A10,222.95,68.0,12.0,51.0,3.0,1.0,2.83333,0.5,2.125,0.125,0.04167
Dallas Pierce,14.0,70.0,G,Sophomore,Siena,MAAC,Massachusetts,A10,67.75,18.0,2.0,3.0,1.0,1.0,1.05882,0.11765,0.17647,0.05882,0.05882
