#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,Previous School,clean_name,Player,Team_prev,Previous Conf,Team,NewTeam,NewConf,ImageURL
10,Georgia Grigoropoulou,Saint Mary's Gaels,F,6-3,Sr.,"Athens, Greece",UserTeam4,4.0,4.0,13.0,56.0,1.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,1.0,1.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,2.0,Santa Clara,georgia grigoropoulou,Georgia Grigoropoulou,Santa Clara,WCC,smc,0,0,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Georgia_Grigoropoulou_Summer_Headshot.png?width=80&quality=90
2,Aniya Hooker,Santa Clara Broncos,G,5-8,So.,"Lynnwood, WA",UserTeam6,25.0,25.0,15.5,20.5,1.0,23.0,4.0,2.0,5.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,23.0,4.0,2.0,5.0,1.0,1.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,2.0,0,aniya hooker,Aniya Hooker,Siena,MAAC,santa clara,Santa Clara,WCC,https://santaclarabroncos.com/images/2025/9/18/hooker_aniyaDJR13246.JPG?width=80&quality=90
0,Ivory Finley,Pepperdine Waves,G,5-10,Gr.,"Minneapolis, MN",UserTeam6,35.0,35.0,4.5,7.0,1.0,23.0,17.0,5.0,2.0,2.0,0.0,3.0,6.0,0.0,2.0,7.0,10.0,3.0,3.0,2.0,2.0,23.0,17.0,5.0,2.0,2.0,0.0,2.0,7.0,10.0,3.0,6.0,0.0,2.0,2.0,Utah State,ivory finley,Ivory Finley,Utah St.,MWC,pepperdine,Pepperdine,WCC,https://daitadul56i2n.cloudfront.net/images/2025/9/26/0_ivory.jpg?width=80&quality=90
8,Mackenzie Chatfield,Washington State Cougars,G,5-9,Jr.,"Auckland, New Zealand",UserTeam5,13.0,13.0,28.5,44.5,1.0,30.0,5.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,4.0,1.0,1.0,2.0,2.0,30.0,5.0,3.0,4.0,1.0,0.0,4.0,2.0,4.0,0.0,0.0,1.0,4.0,4.0,Western Kentucky,mackenzie chatfield,Mackenzie Chatfield,Western Ky.,CUSA,wsu,Washington St.,WCC,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Chatfield__Mackenzie.png?width=80&quality=90
5,Abigail Shoff,Saint Mary's Gaels,F,6-0,Jr.,"Redding, CA",UserTeam4,18.0,18.0,9.0,35.0,1.0,24.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,1.0,2.0,2.0,24.0,8.0,3.0,2.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,1.0,1.0,Long Beach State,abigail shoff,Abigail Shoff,St. Mary's (CA),WCC,smc,0,0,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Abigail_Shoff.png?width=80&quality=90
8,Emily Foy,Saint Mary's Gaels,G,6-1,Jr.,"Newcastle, Australia",UserTeam3,1.0,1.0,41.0,66.5,1.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,emily foy,Emily Foy,St. Mary's (CA),WCC,smc,0,0,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Emily_Foy.png?width=80&quality=90
17,Nicole Anderson,Portland Pilots,G,5-8,Gr.,"Eastvale, CA",UserTeam1,1.0,1.0,41.0,66.5,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,LMU / SMU / Rosary Academy,nicole anderson,Nicole Anderson,SMU,ACC,portland,Portland,WCC,https://portlandpilots.com/images/2025/10/15/Rodriguez_Nicole26web.JPG?width=80&quality=90
14,Michelle Ugwah,San Francisco Dons,F,6-1,R-So.,"Cork, Ireland",UserTeam6,0.0,0.0,32.0,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morehead State,michelle ugwah,Michelle Ugwah,Morehead St.,OVC,usf,San Francisco,WCC,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/14_Michelle_Ugwah_Headshot.jpg?width=80&quality=90
21,Aaliyah Ibarra,Seattle U Redhawks,G,5-8,Senior,"Las Vegas, NV",UserTeam5,-3.0,-3.0,90.0,144.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,Utah Tech,aaliyah ibarra,Aaliyah Ibarra,Utah Tech,WAC,seattle,Seattle U,WCC,https://goseattleu.com/imgproxy/_TvXo-Wd26emOYoDBaIWFf6n66GR8yidVSZMwYhfao4/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS91UE5TTnZHY2JrQ1J6WWlkTXVwZE9Ta1J3Q1pnWUkxeE9nN1RSa2VCLnBuZw.png
22,Rhyan Mogel,Portland Pilots,G,5-10,Jr.,"Happy Valley, OR",UserTeam5,30.0,30.0,9.0,12.0,1.0,13.0,8.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,3.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Clackamas HS,rhyan mogel,Rhyan Mogel,Portland,WCC,portland,0,0,https://portlandpilots.com/images/2025/10/15/Mogel_Rhyan26web.JPG?width=80&quality=90
7,Nevaeh Ferrara Horne,San Francisco Dons,F,6-2,Jr.,"Regina, Saskatchewan, Canada",UserTeam2,0.0,0.0,32.0,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North Dakota,nevaeh ferrara horne,Nevaeh Ferrara Horne,North Dakota,Summit,usf,San Francisco,WCC,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/7_Nevaeh_Ferrera_Horne_Headshot.jpg?width=80&quality=90
3,Jenna Villa,Oregon State Beavers,G,6-1,Jr.,"Arlington, WA",UserTeam2,0.0,0.0,65.5,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,jenna villa,Jenna Villa,Washington State,WCC,osu,0,0,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2025%2F5%2F12%2F25WBB_Recruit_Jenna_Villa_0009.jpg&width=603&height=803&gravity=north&type=webp
0,Jada Hunter,Saint Mary's Gaels,G,5-10,Jr.,"Vallejo, CA",UserTeam1,20.0,20.0,20.0,30.0,1.0,24.0,9.0,5.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,2.0,4.0,0.0,0.0,5.0,5.0,24.0,9.0,5.0,0.0,2.0,0.0,1.0,2.0,4.0,0.0,0.0,5.0,6.0,6.0,Laney College,jada hunter,Jada Hunter,St. Mary's (CA),WCC,smc,0,0,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Jada_Hunter.png?width=80&quality=90
5,Carly Heidger,Loyola Marymount Lions,G,6-3,Sr.,"Dacula, GA",UserTeam3,0.0,0.0,65.5,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Samford,carly heidger,Carly Heidger,Loyola Marymount,WCC,lmu,0,0,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Carly_Heidger.jpg?width=80&quality=90
13,Ava Schmidt,Santa Clara Broncos,F,6-2,Jr.,"Sammamish, WA",UserTeam2,0.0,0.0,32.0,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ava schmidt,Ava Schmidt,Northern Ariz.,Big Sky,santa clara,Santa Clara,WCC,https://santaclarabroncos.com/images/2025/9/18/schmidt_avaDJR13235.JPG?width=80&quality=90
25,Lauren Glazier,Washington State Cougars,F,6-4,Sr.,"North Bend, Wash.",UserTeam1,0.0,0.0,32.0,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mount Si HS,lauren glazier,Lauren Glazier,Pacific,WCC,wsu,0,0,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Glazier__Lauren.png?width=80&quality=90
31,Irune Orio,Pepperdine Waves,F,6-2,Sr.,"Balmaseda, Spain",UserTeam1,24.0,24.0,5.0,23.5,1.0,18.0,6.0,2.0,5.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,18.0,6.0,2.0,5.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,Sacramento State / Xavier,irune orio,Irune Orio,Xavier,Big East,pepperdine,Pepperdine,WCC,https://daitadul56i2n.cloudfront.net/images/2025/9/26/31_irune.jpg?width=80&quality=90
20,Lainey Spear,Portland Pilots,F,6-2,Jr.,"Portland, OR",UserTeam1,35.0,35.0,3.0,7.0,1.0,14.0,9.0,6.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,3.0,3.0,3.0,3.0,14.0,9.0,6.0,3.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,2.0,2.0,Beaverton HS,lainey spear,Lainey Spear,Portland,WCC,portland,0,0,https://portlandpilots.com/images/2025/10/15/Spear_Lainey26web.JPG?width=80&quality=90
